Entitate,Nr_proiecte_finantate,Abreviere,Attribute_tip_institutie_original,Reg_dezvoltare,Pr_instit_coordonatoare,Pr_instit_total,merge1_degree,Eigenvcentral_gephi,Closeness_central_gephi,Beetweeness_gephi,Weighteddegree_Gephi,Authority
"INSTITUTUL NATIONAL DE CERCETARE - DEZVOLTARE PENTRU FIZICA SI INGINERIE NUCLEARA "" HORIA HULUBEI "" - IFIN - HH",2,IFIN - HH,Institut de cercetare INCD,Bucuresti-Ilfov,2,9,33,0.455317348499347,0.517241379310344,193.573968197612,51,0.10024899
"INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE AEROSPATIALA ""ELIE CARAFOLI"" - I.N.C.A.S. BUCURESTI",1,INCAS,Institut de cercetare INCD,Bucuresti-Ilfov,2,6,27,0.353339499937509,0.503875968992248,182.951640495161,34,0.07766793
INSTITUTUL DE CHIMIE FIZICA - ILIE MURGULESCU,0,ICF,Academia Română,Bucuresti-Ilfov,1,5,21,0.308437471703259,0.505181347150259,175.268257508791,25,0.06771591
"UNIVERSITATEA DE ŞTIINTELE VIEŢII "" REGELE MIHAI I "" DIN TIMIŞOARA",0,USAB,Universitate publică,Vest,1,6,29,0.38083778032693,0.515873015873015,168.612559999622,36,0.08347794
"INSTITUTUL DE MATEMATICA ""SIMION STOILOW"" AL ACADEMIEI ROMANE",0,IMAR,Academia Română,Bucuresti-Ilfov,0,3,18,0.274233092751204,0.4875,163.974924980828,19,0.059966814
UNIVERSITATEA DE MEDICINA SI FARMACIE CRAIOVA,1,UMFCV,Universitate publică,Sud+Centru,1,3,20,0.217740181512814,0.472154963680387,163.883908817901,22,0.04713338
ACADEMIA ROMANA FILIALA CLUJ,2,ACADCJ,Academia Română,Nord-Vest,0,4,30,0.344898945670763,0.503875968992248,162.265451856732,33,0.07474408
"UNIVERSITATEA DE MEDICINA SI FARMACIE "" VICTOR BABES "" TIMISOARA",0,UMFT,Universitate publică,Vest,0,4,24,0.277850070610993,0.4875,161.223576788797,26,0.060356203
"UNIVERSITATEA ""DUNAREA DE JOS""",1,UDJG,Universitate publică,Sud+Centru,1,9,35,0.504656767320538,0.534246575342465,142.194369016705,59,0.11093456
INSTITUTUL NATIONAL DE BOLI INFECTIOASE ''PROF.DR.MATEI BALS'',1,MATEI BALS,Institut clinic,Bucuresti-Ilfov,1,2,11,0.134242896833688,0.440180586907449,134.471791298826,11,0.029235724
"INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE IN DOMENIUL PATOLOGIEI SI STIINTELOR BIOMEDICALE ""VICTOR BABES""",3,IVB,Institut de cercetare,Bucuresti-Ilfov,0,5,26,0.351456517396373,0.522788203753351,134.086415951874,32,0.07699721
"UNIVERSITATEA DE ARHITECTURA SI URBANISM ""ION MINCU""",0,UAUIM,Universitate publică,Bucuresti-Ilfov,0,4,22,0.244932076736863,0.473300970873786,133.727906214791,22,0.053357273
"UNIVERSITATEA DE MEDICINA SI FARMACIE ""IULIU HATIEGANU""",3,UMF CLUJ,Universitate publică,Nord-Vest,1,5,23,0.273160859065727,0.498721227621483,129.219037731061,29,0.059677757
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU FIZICA PAMANTULUI - INCDFP RA,2,INCDFP,Institut de cercetare INCD,Bucuresti-Ilfov,1,5,30,0.440115739646211,0.510471204188481,127.263274513316,36,0.0969711
UNIVERSITATEA TEHNICA DE CONSTRUCTII BUCURESTI,1,UTCB,Universitate publică,Bucuresti-Ilfov,2,7,34,0.505074266310451,0.53133514986376,124.248628261988,48,0.11128592
"UNIVERSITATEA PENTRU STIINŢELE VIEŢII ""ION IONESCU DE LA BRAD"" DIN IAŞI",0,USV IASI,Universitate publică,Nord-Est,1,6,28,0.438971421060399,0.52,123.551875015272,34,0.09650272
Academia Tehnică Militară „FERDINAND I”,1,ATM,Cercetare & învăţământ militar,Bucuresti-Ilfov,0,4,28,0.407187313504242,0.511811023622047,120.114545780115,29,0.08974618
ACADEMIA ROMANA FILIALA TIMISOARA,0,ACADEMIATM,Academia Română,Vest,0,4,22,0.262634500509999,0.477941176470588,119.004282343966,27,0.057248462
Institutul National de Cercetare-Dezvoltare pentru Chimie si Petrochimie - ICECHIM Bucuresti,2,ICECHIM,Institut de cercetare INCD,Bucuresti-Ilfov,1,6,27,0.398762937884944,0.511811023622047,113.976084120697,36,0.08802006
UNIVERSITATEA LUCIAN BLAGA,1,ULBS,Universitate publică,Sud+Centru,1,8,38,0.620785497432708,0.547752808988764,111.709364715808,61,0.137285
INSTITUTUL DE CERCETARE A CALITATII VIETII,0,ICCV,Academia Română,Bucuresti-Ilfov,0,4,27,0.370387775603275,0.498721227621483,102.195477972591,32,0.081077605
"INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE IN CONSTRUCTII, URBANISM SI DEZVOLTARE TERITORIALA DURABILA ""URBAN-INCERC""",1,INCD URBAN - INCERC,Institut de cercetare INCD,Bucuresti-Ilfov,0,3,25,0.333916138697306,0.49492385786802,99.4969448857292,27,0.07335099
"Academia Navala ""Mircea cel Batran""",0,ANMB,Cercetare & învăţământ militar,Sud+Centru,0,4,26,0.355933738369886,0.492424242424242,99.4734929765361,29,0.078418136
"INSTITUTUL DE STATISTICA MATEMATICA SI MATEMATICA APLICATA AL ACADEMIEI ROMANE ""GHEORGHE MIHOC - CAIUS IACOB""",1,ISMMA,Academia Română,Bucuresti-Ilfov,0,3,21,0.21073599300115,0.451388888888888,93.4075920849127,21,0.045521323
SCOALA NATIONALA DE STUDII POLITICE SI ADMINISTRATIVE,0,SNSPA,Universitate publică,Bucuresti-Ilfov,1,4,17,0.213855331626994,0.473300970873786,93.3284542491348,19,0.046708327
UNIVERSITATEA DE STIINTE AGRICOLE SI MEDICINA VETERINARA CLUJ-NAPOCA,1,USAMV CJ,Universitate publică,Nord-Vest,1,4,24,0.358636684880662,0.513157894736842,90.3174072711845,27,0.07876979
INSTITUTUL NATIONAL DE CERCETARE - DEZVOLTARE PENTRU METALE NEFEROASE SI RARE - IMNR,2,IMNR,Institut de cercetare INCD,Bucuresti-Ilfov,0,4,19,0.281505672342721,0.480295566502463,89.1397044823204,22,0.06208583
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE TURBOMOTOARE - COMOTI,1,COMOTI,Institut de cercetare INCD,Bucuresti-Ilfov,0,4,22,0.294594073718168,0.47560975609756,84.3167362451719,27,0.06482227
INSTITUTUL NATIONAL AL PATRIMONIULUI,1,INP,Instituție publică,Bucuresti-Ilfov,0,2,19,0.211084654267679,0.473300970873786,77.1180929391706,19,0.045480385
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU INGINERIE ELECTRICA ICPE - CA BUCURESTI,1,ICPE - CA,Institut de cercetare INCD,Bucuresti-Ilfov,2,7,24,0.343963411173004,0.5,76.9726807211889,42,0.07575518
"UNIVERSITATEA NATIONALA DE ARTA TEATRALA SI CINEMATOGRAFICA ""ION LUCA CARAGIALE"" DIN BUCURESTI",0,UNATC,Universitate publică,Bucuresti-Ilfov,0,3,13,0.245234581393035,0.481481481481481,70.8110345451964,14,0.054220688
DIRECTORATUL NATIONAL DE SECURITATE CIBERNETICA,0,DNSC,Cercetare & învăţământ militar,Bucuresti-Ilfov,1,3,21,0.294736901552454,0.481481481481481,70.3837734383263,24,0.06493587
UNIVERSITATEA DIN ORADEA,0,UO,Universitate publică,Nord-Vest,0,7,23,0.355549126055903,0.503875968992248,61.1522109200805,39,0.07854058
"INSTITUTUL DE CHIMIE ORGANICĂ ŞI SUPRAMOLECULARĂ ""COSTIN D.NENIŢESCU""",3,ICOS,Academia Română,Bucuresti-Ilfov,0,5,21,0.31964551231127,0.489949748743718,58.3514049514378,27,0.07056033
STATIUNEA DE CERCETARE DEZVOLTARE AGRICOLA SECUIENI,0,SCDA SECUIENI,Institut de cercetare,Nord-Est,0,3,17,0.215382212347504,0.472154963680387,54.4805448731974,19,0.04678521
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU ELECTROCHIMIE SI MATERIE CONDENSATA - INCEMC TIMISOARA,1,INCEMC,Institut de cercetare INCD,Vest,1,3,12,0.161603728871038,0.453488372093023,51.8991891257078,12,0.03546067
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU MASINI SI INSTALATII DESTINATE AGRICULTURII SI INDUSTRIEI ALIMENTARE - INMA,1,INMA,Institut de cercetare INCD,Bucuresti-Ilfov,1,4,22,0.320888045998713,0.506493506493506,50.8596683124041,28,0.07055309
INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU STIINTE BIOLOGICE,1,INCDSB,Institut de cercetare INCD,Bucuresti-Ilfov,0,6,31,0.525218274958768,0.528455284552845,45.2169543489284,46,0.11629926
SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,1,SUUB,Spital universitar,Bucuresti-Ilfov,0,2,15,0.141249660632695,0.435267857142857,45.1562106310952,15,0.030232888
"INSTITUTUL NATIONAL DE CERCETARI ECONOMICE ""COSTIN C. KIRITESCU""",0,INCE,Academia Română,Bucuresti-Ilfov,1,3,19,0.233779011980326,0.467625899280575,40.8904320293632,20,0.050993495
"UNIVERSITATEA ""VALAHIA"" TARGOVISTE",0,VALAHIA,Universitate publică,Sud+Centru,0,3,15,0.206016134003105,0.467625899280575,39.737673479698,17,0.045058917
