Entitate,Nr_proiecte_finantate,Abreviere,Attribute_tip_institutie_original,Reg_dezvoltare,Pr_instit_coordonatoare,Pr_instit_total,merge1_degree,Eigenvcentral_gephi,Closeness_central_gephi,Beetweeness_gephi,Weighteddegree_Gephi,Authority
AGENTIA SPATIALA ROMANA,0,ROSA,Institut de cercetare INCD,Bucuresti-Ilfov,0,1,10,0.166809748625355,0.443181818181818,0.0,10,0.036821987
MOLECULAR GENOMICS S.R.L.,1,MOLECULAR GENOMICS,SRL,Bucuresti-Ilfov,0,1,8,0.122949637209855,0.43046357615894,0.0,8,0.02694744
CENTRUL NATIONAL DE CARTOGRAFIE,0,CNC,Instituție publică,Bucuresti-Ilfov,0,1,5,0.0914855106926687,0.429515418502202,0.0,5,0.02014544
GRAPHIT INNOVATION FACTORY S.R.L.,0,GRAPHIT,SRL,Sud+Centru,0,1,5,0.0914855106926687,0.429515418502202,0.0,5,0.02014544
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU BIOLOGIE SI NUTRITIE ANIMALA - IBNA BALOTESTI,0,IBNA,Institut de cercetare INCD,Bucuresti-Ilfov,0,1,6,0.100708328453391,0.428571428571428,0.0,6,0.022122506
CENTRUL INTERNATIONAL DE BIODINAMICA,0,BIODYN,Institut de cercetare,Bucuresti-Ilfov,0,1,6,0.101807678086746,0.425764192139738,0.0,6,0.022448832
"INSTITUTUL DE ARHEOLOGIE ""VASILE PIRVAN""",1,IABVP,Academia Română,Bucuresti-Ilfov,0,1,5,0.0933497218419513,0.424836601307189,0.0,5,0.02055008
INSTITUTUL DE FILOZOFIE SI PSIHOLOGIE AL ACADEMIEI ROMANE ''CONSTANTIN RADULESCU MOTRU'',1,INSTITUTUL DE FILOSOFIE,Academia Română,Bucuresti-Ilfov,0,1,8,0.116481211116011,0.42391304347826,0.0,8,0.025748977
"SPITALUL CLINIC DE PSIHIATRIE ""SOCOLA"" IAŞI",1,S SOCOLA,Institut clinic,Nord-Est,0,1,8,0.116481211116011,0.42391304347826,0.0,8,0.025748977
SPITALUL CLINIC DE PSIHIATRIE PROF.DR.ALEXANDRU OBREGIA,1,SPITAL OBREGIA,Spital de stat,Bucuresti-Ilfov,0,1,8,0.116481211116011,0.42391304347826,0.0,8,0.025748977
STATIUNEA DE CERCETARE -DEZVOLTARE AGRICOLA TURDA,0,SCDA TURDA,Institut de cercetare,Nord-Vest,0,1,6,0.105758703625158,0.42391304347826,0.0,6,0.023429062
SANATORIUL BALNEAR SI DE RECUPERARE TECHIRGHIOL,0,SBTGHIOL,Baza de tratament privata,Sud+Centru,0,1,5,0.0845259892328409,0.420258620689655,0.0,5,0.01865747
"Spitalul Universitar de Urgenta Militar Central ""Dr.Carol Davila""",0,SCUMC,Spital universitar,Bucuresti-Ilfov,0,1,4,0.0774981073751659,0.418454935622317,0.0,4,0.017100144
ASOCIATIA SOLAR DECATLON BUCURESTI,0,EFdeN,ONG,Bucuresti-Ilfov,0,1,5,0.0766188980512122,0.417558886509635,0.0,5,0.016771512
INSTITUTUL DE PROGNOZA ECONOMICA,0,IPE,Academia Română,Bucuresti-Ilfov,0,1,6,0.0887387252416726,0.416666666666666,0.0,6,0.019492257
INSTITUTUL DE CERCETARI BIOLOGICE CLUJ FILIALA A INCDSB BUCURESTI,1,ICB CLUJ,Institut de cercetare INCD,Nord-Vest,0,1,6,0.0944501441781521,0.415778251599147,0.0,6,0.020732692
UNIVERSITATEA ROMANO-AMERICANA,0,URA,Universitate privată,Bucuresti-Ilfov,0,1,4,0.0686885347621101,0.414893617021276,0.0,4,0.015133685
IPA SA,0,IPA SA,SRL,Bucuresti-Ilfov,0,1,4,0.0616315324315227,0.414012738853503,0.0,4,0.0134850275
"UNIVERSITATEA ""CONSTANTIN BRÂNCUŞI""",0,UCB,Universitate publică,Sud+Centru,0,1,4,0.0616315324315227,0.414012738853503,0.0,4,0.0134850275
"Academia Fortelor Aeriene ""Henri Coanda"" Brasov",0,AFAHC,Cercetare & învăţământ militar,Sud+Centru,0,1,6,0.103698073311704,0.412262156448202,0.0,6,0.022930354
UNIVERSITATEA NATIONALA DE EDUCATIE FIZICA SI SPORT DIN BUCURESTI,0,UNEFS,Universitate publică,Bucuresti-Ilfov,0,1,5,0.0698473379753376,0.409663865546218,0.0,5,0.015212534
INSTITUTUL DE INVESTIGARE A CRIMELOR COMUNISMULUI SI MEMORIA EXILULUI ROMANESC,0,IICCMER,Institut de cercetare,Bucuresti-Ilfov,0,1,9,0.0992340879750241,0.407949790794979,0.0,9,0.021316484
STATIUNEA DE CERCETARE DEZVOLTARE PENTRU LEGUMICULTURA,0,SCDL,Institut de cercetare,Nord-Est,0,1,9,0.0992340879750241,0.407949790794979,0.0,9,0.021316484
"UNIVERSITATEA ""PETRE ANDREI"" DIN IAŞI",0,UPA,Universitate privată,Nord-Est,0,1,9,0.0992340879750241,0.407949790794979,0.0,9,0.021316484
"INSTITUTUL DE CERCETARI PENTRU INTELIGENTA ARTIFICIALA ,,MIHAI DRAGANESCU''",0,RACAI,Academia Română,Bucuresti-Ilfov,0,1,10,0.0957939712090205,0.407949790794979,0.0,10,0.020446481
ACADEMIA DE STIINTE MEDICALE,0,ASM,Instituție publică,Bucuresti-Ilfov,0,1,10,0.0957939712090205,0.407949790794979,0.0,10,0.020446481
"INSTITUTUL NAT.GERONTOLOGIE SI GERIATRIE ""ANA ASLAN""",0,INGG,Institut clinic,Bucuresti-Ilfov,0,1,10,0.0957939712090205,0.407949790794979,0.0,10,0.020446481
"SPITALUL CLINIC ""COLENTINA"" BUCURESTI",0,S COLENTINA,Spital de stat,Bucuresti-Ilfov,0,1,10,0.0957939712090205,0.407949790794979,0.0,10,0.020446481
Ministerul Apărării Naționale prin Centrul de Cercetare și Inovare pentru Apărare CBRN și Ecologie,0,CCIACBRNE,Cercetare & învăţământ militar,Bucuresti-Ilfov,0,1,4,0.0690911583771185,0.407949790794979,0.0,4,0.015244531
AUTONOMOUS FLIGHT TECHNOLOGY R&D SRL,0,AFT RD,SRL,Bucuresti-Ilfov,0,1,6,0.0792013871765167,0.407098121085595,0.0,6,0.017399395
MUZEUL DUNARII DE JOS CALARASI,0,MDJ,Muzeu,Sud+Centru,0,1,9,0.0819178056529212,0.40625,0.0,9,0.0174652
MUZEUL MARAMURESAN,0,MUZEUL MARAMURESAN,Muzeu,Nord-Vest,0,1,9,0.0819178056529212,0.40625,0.0,9,0.0174652
MUZEUL NATIONAL AL UNIRII ALBA IULIA,0,MNUAI,Muzeu,Sud+Centru,0,1,9,0.0819178056529212,0.40625,0.0,9,0.0174652
IMPACT TRILOGISTIC SRL,0,IMPACT TRILOGISTIC,SRL,Sud+Centru,0,1,9,0.0819178056529212,0.40625,0.0,9,0.0174652
UNITATEA MILITARA 02133 - DIRECTIA HIDROGRAFICA MARITIMA,0,DHM,Cercetare & învăţământ militar,Sud+Centru,0,1,5,0.0777550659419298,0.40625,0.0,5,0.017181776
SPITALUL CLINIC JUDETEAN DE URGENTA TARGU MURES,1,SCJU TG MURES,Spital de stat,Sud+Centru,0,1,5,0.077532768857197,0.405405405405405,0.0,5,0.017073942
INSTITUTUL DE GEODINAMICA,0,GEODIN,Academia Română,Bucuresti-Ilfov,0,1,7,0.0770916462327783,0.404564315352697,0.0,7,0.016670298
INSTITUTUL DE SPEOLOGIE ''EMIL RACOVITA'',0,ISER,Academia Română,Bucuresti-Ilfov,0,1,7,0.0770916462327783,0.404564315352697,0.0,7,0.016670298
INSTITUTUL ONCOLOGIC PROF.DR.I.CHIRICUTA CLUJ-NAPOCA,0,IOCN,Institut clinic,Nord-Vest,1,1,4,0.0688639485415494,0.403726708074534,0.0,4,0.01518379
"BANCA DE RESURSE GENETICE VEGETALE ""MIHAI CRISTEA"" SUCEAVA",0,BRGV,Institut de cercetare,Nord-Est,0,1,5,0.0660043651599841,0.402061855670103,0.0,5,0.014415129
INSTITUTUL DE ECONOMIE AGRARA - INCE,0,EADR,Academia Română,Bucuresti-Ilfov,0,1,9,0.0966183155333992,0.399590163934426,0.0,9,0.020891247
ASOCIAŢIA TRANSILVANIA IT,0,TRANSILVANIA IT,ONG,Nord-Vest,0,1,5,0.067907047941075,0.398773006134969,0.0,5,0.014858342
STATIUNEA DE CERCETARE DEZVOLTARE PENTRU VITICULTURA SI VINIFICATIE MURFATLAR,0,SCDVV MURFATLAR,Institut de cercetare,Sud+Centru,0,1,5,0.0643493507872865,0.398773006134969,0.0,5,0.014002885
STATIUNEA DE CERCETARE- DEZVOLTARE AGRICOLA LOVRIN,0,SCDA LOVRIN,Institut de cercetare,Vest,0,1,5,0.0643493507872865,0.398773006134969,0.0,5,0.014002885
"Academia Nationala de Informatii ""Mihai Viteazul""",1,ANIMV,Cercetare & învăţământ militar,Bucuresti-Ilfov,1,1,3,0.0568329603460625,0.396341463414634,0.0,3,0.012515344
"UNIVERSITATEA NAŢIONALĂ DE APĂRARE ""CAROL I"" (UM 02545)",1,UNAP _ UM 02545,Cercetare & învăţământ militar,Bucuresti-Ilfov,0,1,3,0.0568329603460625,0.396341463414634,0.0,3,0.012515344
INSTITUTUL CLINIC FUNDENI,0,IC FUNDENI,Institut clinic,Bucuresti-Ilfov,0,1,5,0.0614940321488751,0.395537525354969,0.0,5,0.013443466
ASOCIATIA CLUSTERUL AGRO - FOOD - IND NAPOCA,0,AGROCLUSTER,ONG,Nord-Vest,0,1,4,0.0605121747272375,0.395537525354969,0.0,4,0.013177747
INSTITUTUL DE CERCETARI IN TRANSPORTURI INCERTRANS SA,0,INCERTRANS,Institut de cercetare INCD,Bucuresti-Ilfov,0,1,4,0.0551744204574761,0.393145161290322,0.0,4,0.012145639
TRANSLATIONAL GLOBAL MEDICAL CLINICAL AND RESEARCH CENTER S.R.L.,0,TRANSLATIONAL GLOBAL MEDICAL CLINICAL AND RESEARCH CENTER,SRL,Bucuresti-Ilfov,0,1,4,0.0489868546285299,0.393145161290322,0.0,4,0.010637391
UNIVERSITATEA DE ARTA SI DESIGN CLUJ-NAPOCA,0,UAD,Universitate publică,Nord-Vest,0,1,5,0.0555117788834167,0.39235412474849,0.0,5,0.012154075
UNIVERSITATEA NATIONALA DE ARTE DIN BUCURESTI,0,UNARTE,Universitate publică,Bucuresti-Ilfov,0,1,5,0.0555117788834167,0.39235412474849,0.0,5,0.012154075
"COMPLEXUL MUZEAL NAŢIONAL ""MOLDOVA"" IAŞI",0,CMNM,Muzeu,Nord-Est,0,1,4,0.0536621630514122,0.39235412474849,0.0,4,0.011709952
INSTITUTUL DE URGENTA PENTRU BOLI CARDIOVASCULARE SI TRANSPLANT TARGU-MURES,0,IUBCvT,Institut clinic,Sud+Centru,0,1,8,0.0521217412030685,0.39156626506024,0.0,8,0.010747816
"SPITALUL CLINIC OBSTRETICA-GINECOLOGIE""PROF.DR.PANAIT SIRBU""",0,MATERNITATEA GIULESTI,Spital de stat,Bucuresti-Ilfov,0,1,8,0.0521217412030685,0.39156626506024,0.0,8,0.010747816
SPITALUL CLINIC FILANTROPIA,0,S FILANTROPIA,Spital de stat,Bucuresti-Ilfov,0,1,8,0.0521217412030685,0.39156626506024,0.0,8,0.010747816
SPITALUL CLINIC DR. I.CANTACUZINO,0,S CANTACUZINO,Spital de stat,Bucuresti-Ilfov,0,1,8,0.0521217412030685,0.39156626506024,0.0,8,0.010747816
SPITALUL CLINIC MUNICIPAL DE URGENTA TIMISOARA,0,SMTM,Spital de stat,Vest,0,1,8,0.0521217412030685,0.39156626506024,0.0,8,0.010747816
"SPITALUL CLINIC DE OBSTETRICA SI GINECOLOGIE ""ELENA DOAMNA""",0,S ELENA DOAMNA,Spital universitar,Nord-Est,0,1,8,0.0521217412030685,0.39156626506024,0.0,8,0.010747816
INSTITUTUL DE ANTROPOLOGIE ''FRANCISC I .RAINER'',0,IAFR,Academia Română,Bucuresti-Ilfov,0,1,6,0.0496608607473799,0.390781563126252,0.0,6,0.010500782
"MUZEUL NATIONAL DE ISTORIE NATURALA ""GRIGORE ANTIPA""",0,ANTIPA,Muzeu,Bucuresti-Ilfov,0,1,6,0.0496608607473799,0.390781563126252,0.0,6,0.010500782
"INSTITUTUL DE BIOLOGIE SI PATOLOGIE CELULARA ""NICOLAE SIMIONESCU""",1,ICBP,Academia Română,Bucuresti-Ilfov,0,1,5,0.049779459322915,0.386904761904761,0.0,5,0.010694548
ASOCIATIA PENTRU TRANZITIA URBANA - ATU,0,ATU,ONG,Bucuresti-Ilfov,0,1,4,0.0453111221902011,0.386138613861386,0.0,4,0.009897233
SERVICIUL DE TELECOMUNICATII SPECIALE,0,STS,Cercetare & învăţământ militar,Bucuresti-Ilfov,0,1,5,0.0511240322793212,0.384615384615384,0.0,5,0.011138579
INSTITUTUL DE LINGVISTICA AL ACADEMIEI ROMANE ''IORGU IORDAN - ALEXANDRU ROSETTI'',0,LINGV,Academia Română,Bucuresti-Ilfov,1,1,5,0.0416688432823274,0.384615384615384,0.0,5,0.008862897
SPITALUL CLINIC JUDETEAN DE URGENTA CONSTANTA,0,SCJU CONSTANTA,Spital de stat,Sud+Centru,1,1,3,0.0307205158214504,0.375722543352601,0.0,3,0.0066385684
"SPITALUL CLINIC JUDETEAN DE URGENTA ""SF. SPIRIDON"" IASI",0,S SPIRIDON,Spital de stat,Nord-Est,0,1,3,0.0307205158214504,0.375722543352601,0.0,3,0.0066385684
UNIVERSITATEA AUREL VLAICU ARAD,0,UAV,Universitate publică,Vest,0,1,4,0.0297838794210071,0.367924528301886,0.0,4,0.0063272836
SPITALUL CLINIC JUDETEAN MURES,0,SJ MURES,Spital de stat,Sud+Centru,0,1,3,0.0261756034095933,0.357142857142857,0.0,3,0.005690238
INSTITUTUL DE MECANICA SOLIDELOR,1,IMSAR,Academia Română,Bucuresti-Ilfov,1,1,4,0.0325616427116953,0.348837209302325,0.0,4,0.007057691
"SPITALUL CLINIC DE BOLI INFECŢIOASE ""SF. PARASCHEVA"" IAŞI",0,SF PARASCHEVA IASI,Spital de stat,Nord-Est,0,1,3,0.0152956496546795,0.346358792184724,0.0,3,0.0031664744
"SPITALUL CLINIC DE BOLI INFECTIOASE SI PNEUMOFTIZIOLOGIE ""Dr. VICTOR BABES"" TIMISOARA",0,S VBABESTM,Spital de stat,Vest,0,1,3,0.0152956496546795,0.346358792184724,0.0,3,0.0031664744
